,AVG_KD,SIG_STR_PCT,TD_PCT,HEAD_PCT,LEG_PCT,clusters,cluster
2301,0.5,0.155,0.0,0.083333333,0.875,1,purple
2302,0.0,0.0,0.0,0.0,0.0,2,dark purple
2303,0.0,0.685,0.47,0.5,1.0,0,pink
2304,0.25,0.603261719,0.164355469,0.429449698,0.857777778,0,pink
2305,0.5,0.355,0.0,0.625,0.0,2,dark purple
2306,0.5,0.435,0.0,0.277777778,1.0,1,purple
2307,0.0,0.0,0.0,0.0,0.0,2,dark purple
2308,0.1875,0.56,0.25,0.45320197,0.965517241,0,pink
2309,0.2890625,0.56265625,0.210625,0.504780999,0.977272727,1,purple
2310,0.111328125,0.610263672,0.162109375,0.626643796,0.767097967,0,pink
2311,0.0,0.0,0.0,0.0,0.0,2,dark purple
2312,0.0,0.0,0.0,0.0,0.0,2,dark purple
2313,0.0,0.0,0.0,0.0,0.0,2,dark purple
2314,0.0,0.5125,0.4125,0.484848485,0.0,2,dark purple
2315,0.5,0.495,0.1875,0.514563107,0.714285714,1,purple
2316,0.4375,0.370625,0.37625,0.259657276,0.714987715,1,purple
2317,0.25,0.38,0.125,0.416666667,0.806451613,0,pink
2318,0.25,0.3725,0.25,0.481927711,0.842105263,0,pink
2319,0.5,0.43,0.0,0.727272727,1.0,1,purple
2320,0.25,0.37,0.115,0.277777778,0.625,0,pink
2321,0.01953125,0.365371094,0.180234375,0.331775701,0.868026777,0,pink
2322,0.5,0.415,0.58,0.473684211,0.740740741,1,purple
2323,0.22265625,0.620527344,0.07421875,0.402165507,0.864253394,0,pink
2324,0.0,0.435,0.3,0.37254902,0.875,0,pink
2325,0.0,0.525,0.575,0.538461538,0.0,2,dark purple
2326,0.578125,0.6003125,0.21625,0.515979381,0.955882353,1,purple
2327,0.375,0.42,0.0,0.461538462,0.941176471,1,purple
2328,0.0,0.5134375,0.3625,0.478,0.757575758,0,pink
2329,0.25,0.48125,0.0,0.524173028,0.761904762,1,purple
2330,0.5,0.52,0.58,0.406153846,0.788235294,1,purple
2331,0.375,0.47125,0.7525,0.313220339,0.756272401,0,pink
2332,0.01171875,0.531672363,0.42715332,0.493623987,0.983859747,0,pink
2333,0.0078125,0.545166016,0.50859375,0.485287981,0.96520936,0,pink
2334,0.5,0.515,0.5,0.366863905,0.870967742,1,purple
2335,0.015625,0.261542969,0.773613281,0.500986724,1.0,0,pink
2336,0.15625,0.525625,0.3075,0.444539249,0.85,0,pink
2337,0.0,0.605,0.5,0.5,0.0,2,dark purple
2338,0.0,0.0,0.0,0.0,0.0,2,dark purple
2339,0.0,0.25,0.0,0.090909091,0.666666667,0,pink
2340,0.133804321,0.398916016,0.308364868,0.401120665,0.935128286,0,pink
2341,0.0,0.0,0.0,0.0,0.0,2,dark purple
